series,rounds,window,n_years,n_round_targets,mean,within_sd,disagreement,total_sd,iqr,q95,threshold,probability_lower,probability_upper
US next year,Q1,2023–26,4,4,1.7226307235023042,1.525985146063993,0.5791828449997815,1.6334417889269208,1.5973530567174197,3.9077408493113923,5.0,0.0043323670684154,0.03909172988302015
US next year,Q1,2023–26,4,4,1.7226307235023042,1.525985146063993,0.5791828449997815,1.6334417889269208,1.5973530567174197,3.9077408493113923,10.0,0.00033373626373622503,0.00058431230060255
US three years ahead,Q1,2010–14,5,5,2.792893658119658,1.2633396152242813,0.5631878968009275,1.384494902358313,1.5877238484299572,4.933431965635042,3.0,0.4500807866195108,0.4500807866195108
US three years ahead,Q1,2010–14,5,5,2.792893658119658,1.2633396152242813,0.5631878968009275,1.384494902358313,1.5877238484299572,4.933431965635042,4.0,0.14883937938893796,0.14883937938893796
US three years ahead,Q1,2010–14,5,5,2.792893658119658,1.2633396152242813,0.5631878968009275,1.384494902358313,1.5877238484299572,4.933431965635042,5.0,0.04215151521760482,0.04215151521760482
US three years ahead,Q1,2010–14,5,5,2.792893658119658,1.2633396152242813,0.5631878968009275,1.384494902358313,1.5877238484299572,4.933431965635042,10.0,0.0,0.010347586639159
US three years ahead,Q1,2015–19,5,5,2.0195389379206268,1.3247714956413303,0.4985025499996573,1.4181415337348589,1.6657182849421173,4.174210020179509,3.0,0.20813573809516578,0.20813573809516578
US three years ahead,Q1,2015–19,5,5,2.0195389379206268,1.3247714956413303,0.4985025499996573,1.4181415337348589,1.6657182849421173,4.174210020179509,4.0,0.05969909403010959,0.05969909403010959
US three years ahead,Q1,2015–19,5,5,2.0195389379206268,1.3247714956413303,0.4985025499996573,1.4181415337348589,1.6657182849421173,4.174210020179509,5.0,0.01693655988728792,0.01693655988728792
US three years ahead,Q1,2015–19,5,5,2.0195389379206268,1.3247714956413303,0.4985025499996573,1.4181415337348589,1.6657182849421173,4.174210020179509,10.0,0.0,0.00448047398275542
US three years ahead,Q1,2020–24,5,5,1.8581583801169592,1.69529090225492,0.5378462052556577,1.782998233955955,1.5988025750032526,4.463960626282886,3.0,0.07366784157363103,0.25908844763423705
US three years ahead,Q1,2020–24,5,5,1.8581583801169592,1.69529090225492,0.5378462052556577,1.782998233955955,1.5988025750032526,4.463960626282886,4.0,0.058072052099946814,0.058072052099946814
US three years ahead,Q1,2020–24,5,5,1.8581583801169592,1.69529090225492,0.5378462052556577,1.782998233955955,1.5988025750032526,4.463960626282886,5.0,0.006307472620946279,0.05353520999468366
US three years ahead,Q1,2020–24,5,5,1.8581583801169592,1.69529090225492,0.5378462052556577,1.782998233955955,1.5988025750032526,4.463960626282886,10.0,0.00026836363636362,0.0008031004784688799
US three years ahead,Q1,2025–26,2,2,1.9088982045454546,1.426007837784146,0.3656616998848858,1.4725060843030526,1.4633705968395212,4.013187444715958,3.0,0.04850727272727265,0.2720268181818182
